Point,Level,Time
1,0,2024-07-09 16:01:05
1,0.5,2024-07-09 16:02:05
1,1,2024-07-09 16:03:00
1,1.5,2024-07-09 16:04:40
1,2,2024-07-09 16:06:15
2,0,2024-07-09 16:08:40
2,0.5,2024-07-09 16:09:30
2,1,2024-07-09 16:10:35
2,1.5,2024-07-09 16:11:20
2,2,2024-07-09 16:12:20
3,0,2024-07-09 16:13:55
3,0.5,2024-07-09 16:14:40
3,1,2024-07-09 16:15:35
3,1.5,2024-07-09 16:16:35
3,2,2024-07-09 16:19:15
4,0,2024-07-09 16:20:35
4,0.5,2024-07-09 16:21:15
4,1,2024-07-09 16:22:45
4,1.5,2024-07-09 16:23:40
4,2,2024-07-09 16:24:25
5,0,2024-07-09 16:27:15
5,0.5,2024-07-09 16:28:35
5,1,2024-07-09 16:30:10
5,1.5,2024-07-09 16:31:10
5,2,2024-07-09 16:32:10
6,0,2024-07-09 16:33:50
6,0.5,2024-07-09 16:34:50
6,1,2024-07-09 16:36:20
6,1.5,2024-07-09 16:37:45
6,2,2024-07-09 16:38:50
7,0,2024-07-09 16:40:40
7,0.5,2024-07-09 16:41:45
7,1,2024-07-09 16:42:40
7,1.5,2024-07-09 16:44:05
7,2,2024-07-09 16:44:50
8,0,2024-07-09 16:46:25
8,0.5,2024-07-09 16:47:15
8,1,2024-07-09 16:48:10
8,1.5,2024-07-09 16:49:10
8,2,2024-07-09 16:50:05
9,0,2024-07-09 16:51:15
9,0.5,2024-07-09 16:52:05
9,1,2024-07-09 16:53:05
9,1.5,2024-07-09 16:53:45
9,2,2024-07-09 16:54:20
10,0,2024-07-09 16:55:20
10,0.5,2024-07-09 16:56:20
10,1,2024-07-09 16:57:30
10,1.5,2024-07-09 16:58:15
10,2,2024-07-09 16:58:55
11,0,2024-07-09 17:00:25
11,0.5,2024-07-09 17:01:25
11,1,2024-07-09 17:02:20
11,1.5,2024-07-09 17:03:05
11,2,2024-07-09 17:04:00
12,0,2024-07-09 17:05:15
12,0.5,2024-07-09 17:06:20
12,1,2024-07-09 17:07:20
12,1.5,2024-07-09 17:08:00
12,2,2024-07-09 17:09:00
13,0,2024-07-09 17:10:05
13,0.5,2024-07-09 17:11:40
13,1,2024-07-09 17:12:35
13,1.5,2024-07-09 17:13:35
13,2,2024-07-09 17:14:15
14,0,2024-07-09 17:15:30
14,0.5,2024-07-09 17:16:15
14,1,2024-07-09 17:17:20
14,1.5,2024-07-09 17:18:10
14,2,2024-07-09 17:18:50
15,0,2024-07-09 17:20:10
15,0.5,2024-07-09 17:21:00
15,1,2024-07-09 17:21:50
15,1.5,2024-07-09 17:22:40
15,2,2024-07-09 17:23:25
16,0,2024-07-10 16:32:30
16,0.5,2024-07-10 16:33:15
16,1,2024-07-10 16:34:10
16,1.5,2024-07-10 16:35:00
16,2,2024-07-10 16:36:40
17,0,2024-07-10 16:37:50
17,0.5,2024-07-10 16:38:45
17,1,2024-07-10 16:39:45
17,1.5,2024-07-10 16:40:25
17,2,2024-07-10 16:42:00
18,0,2024-07-10 16:43:30
18,0.5,2024-07-10 16:44:30
18,1,2024-07-10 16:45:50
18,1.5,2024-07-10 16:46:55
18,2,2024-07-10 16:48:00
19,0,2024-07-10 16:49:05
19,0.5,2024-07-10 16:51:15
19,1,2024-07-10 16:52:50
19,1.5,2024-07-10 16:53:30
19,2,2024-07-10 16:54:20
20,0,2024-07-10 16:55:25
20,0.5,2024-07-10 16:56:05
20,1,2024-07-10 16:56:45
20,1.5,2024-07-10 16:57:20
20,2,2024-07-10 16:58:00
21,0,2024-07-10 17:00:00
21,0.5,2024-07-10 17:01:05
21,1,2024-07-10 17:02:10
21,1.5,2024-07-10 17:03:00
21,2,2024-07-10 17:03:40
22,0,2024-07-10 17:04:45
22,0.5,2024-07-10 17:06:00
22,1,2024-07-10 17:06:50
22,1.5,2024-07-10 17:07:35
22,2,2024-07-10 17:08:30
23,0,2024-07-10 17:09:45
23,0.5,2024-07-10 17:11:00
23,1,2024-07-10 17:12:00
23,1.5,2024-07-10 17:12:45
23,2,2024-07-10 17:13:20
24,0,2024-07-10 17:14:15
24,0.5,2024-07-10 17:15:00
24,1,2024-07-10 17:15:45
24,1.5,2024-07-10 17:16:20
24,2,2024-07-10 17:17:10
25,0,2024-07-10 17:18:25
25,0.5,2024-07-10 17:19:35
25,1,2024-07-10 17:20:55
25,1.5,2024-07-10 17:21:55
25,2,2024-07-10 17:22:45
